Title_orig;Title_cz;Title_sk;Country;Genre;Released;Length;Description;Expanses;Earnings;Age_restriction;Images;Trailer;Price;Link
Edge of tomorrow;Na hraně zítřka;Na hrane zajtrajška;USA / Kanada;Sci-Fi / Dobrodružný / Akční;2014;108;Příběh se odehrává v blízké budoucnosti. Mimikové, mimozemská rasa připomínající včelí kolonii, vytrvale útočí na Zemi, obracejí velká města v hromadu trosek a zanechávají za sebou miliony lidských obětí. Podplukovník Bill Cage (Tom Cruise), který nikdy nebyl v žádné bitvě, je bez cirátů degradován a s nulovým výcvikem a mizernou výzbrojí poslán splnit úkol, který není ničím jiným než sebevražednou misí. Během několika minut je zabit, předtím se mu však podaří zneškodnit Alphu. Ač se to zdá nemožné, procitne opět na začátku toho samého pekelného dne a je nucen znovu bojovat a zemřít... a tak stále dokola. Přímý fyzický kontakt s mimozemšťanem způsobil, že se dostal do časové smyčky a je tak odsouzen prožívat nelítostnou bitvu znovu a znovu. S každým dalším pokusem se však zvyšuje jeho odolnost a pohotovost a své rostoucí schopnosti dokáže v boji s Mimiky lépe využívat. Po jeho boku bojuje členka speciálních jednotek Rita Vrataski (Emily Blunt), která zlikvidovala víc Mimiků než kterýkoliv jiný bojovník na Zemi. Každá další bitva je pro Cagea a Ritu příležitostí najít způsob, jak mimozemské vetřelce porazit a Zemi zachránit.;;$370.5 million;12+;https://www.csfd.cz/film/307556-na-hrane-zitrka/galerie/;;;
Top Gun: Maverick;Top Gun: Maverick;Top Gun: Maverick;USA;Akční / Drama;2022;131;Pete „Maverick“ Mitchell (Tom Cruise) k smrti rád pilotuje stíhačky. Dokonce tak, že se už přes třicet let úspěšně brání povýšení ve strukturách amerického letectva, protože to by ho z kokpitu vyhnalo do vyhřáté kanceláře. Maverick byl navíc vždycky magnetem na průšvihy, což se s armádní kariérou taky docela vylučuje. Pilot je ovšem bravurní, možná ten úplně nejlepší, a proto dostane nabídku stát se instruktorem elitních stíhačů z programu Top Gun, které má připravit na úkol, jenž spadá do kategorie Mission Imposssible. Kromě téhle bude muset Maverick zvládnout i jednu obtížnou soukromou misi. Jedním z pilotů, které má připravit do akce, je i Bradley Bradshaw (Miles Teller), syn jeho kamaráda a navigátora Goose. Znalci prvního Top Gunu vědí, že Goose zahynul, když se neúspěšně katapultoval z neovladatelné stíhačky, pilotované právě Maverickem. A jeho syn mu otcovu smrt klade za vinu. Maverick za žádnou cenu nechce, aby Bradleyho potkal stejný osud jako jeho otce. Přitom si uvědomuje, že pravděpodobnost, že některý z pilotů plánovanou leteckou operaci nepřežije, není vůbec malá;;$1.489 billion;None;https://www.csfd.cz/film/286035-top-gun-maverick/galerie/;https://www.csfd.cz/film/286035-top-gun-maverick/prehled/;;
The Whale;Velryba;Veľryba;USA;Drama;2022;117;Lidé jsou úžasní. Tento nakažlivý optimismus je superschopností Charlieho. Vidí v lidech jen dobro a v nás tak probouzí empatii. Téměř tří set kilový osamělý učitel, ztvárněný miláčkem publika Brendanem Fraserem, se snaží najít cestu zpět ke své dceři Ellie (Sadie Sink). Pod tíhou vlastních traumat se jen složitě vyrovnává s minulostí, uzavřel se ve svém bytě, stresové situace řeší přejídáním, ale na půdorysu svého třípokojového bytu je majákem dobra pro sebe i své okolí;;$13.9 million;12+;https://www.csfd.cz/film/969361-velryba/galerie/;https://www.csfd.cz/film/969361-velryba/prehled/;;
Vyšehrad : Fylm;Vyšehrad: Fylm;Vyšehrad: Fylm;CZ;Komedie / Sportovní;2022;105;"Od chvíle, kdy jsme Julia Lavického (Jakub Štáfek) viděli naposledy (ano, bylo to tehdy, když „prodal"" zápas, ale zapomněl na to, a dal krásný gól), uběhl více než rok. Lavi je, jak by řekl jeho agent Jarda (Jakub Prachař), pořád stejný dement, ale začalo se mu konečně dařit. A to jak ve fotbalovém, tak v osobním životě. S Vyšehradem postoupil do druhé ligy, kde vede tabulku střelců, opět po něm pokukují zámožnější kluby, dokonce požádal o ruku svou přítelkyni Lucii (Šárka Vaculíková), sestru Jardy... Na svatbě, která stála majlant, ale zjistí, že má už osmiletého syna, což novomanželku rozhodně nepotěší. Nedostatek financí se rozhodne řešit půjčkou od ne zrovna čestné party, zároveň se snaží nepřijít o manželku hned ve svatební den, postarat se o dítě, což je mu na hony vzdálené, dostat se z Vyšehradu někam výš, nebo se poprat s praktikami jistého fotbalového Taťky... Prostě už zase se řítí jak lavina – z jednoho problému do druhého!";;104,278,232 CZK;15+;https://www.csfd.cz/film/912147-vysehrad-fylm/galerie/;https://www.csfd.cz/film/912147-vysehrad-fylm/prehled/;;
Requiem for a Dream;Rekviem za sen;Requiem za sen;USA;Drama;2000;102;Ovdovělá Sara Goldfarbová žije na Coney Island a snadno podléhá mámení televizních pořadů. Právě teď drží dietu, aby se mohla účastnit jedné ze show. Její milý ale bezmocný syn Harry má novou přítelkyni Marion a společně se snaží čelit bolestné realitě útěkem do snů. Ani Harryho nejlepší přítel Tyrone, který se živí prodejem drog, nemá snadný život. A tak se čtveřice lidí, jimž osud nepřál štěstí, točí v bludném kruhu bezmoci a beznaděje.;;$7.4 million;15+;https://www.csfd.cz/film/14317-requiem-za-sen/galerie/;https://www.csfd.cz/film/14317-requiem-za-sen/prehled/;;
Harry Potter and the Goblet of Fire;Harry Potter a Ohnivý pohár;Harry Potter a Ohnivá čaša;USA;Fantasy / Rodinný / Dobrodružný;2005;157;Harryho Pottera (Daniel Radcliffe) už istý čas prenasledujú nočné mory, vďaka ktorým ho jeho jazva bolí viac ako inokedy. Pred znepokojivými snami sa pokúša uniknúť tak, že so svojimi priateľmi Ronom Weasleym (Rupert Grint) a Hermionou Grangerovou (Emma Watson) navštívi majstrovstvá sveta v metlobale. Oblohu nad skandujúcimi fanúšikmi však rozžiari Temné znamenie - zlovestný úkaz, ktorý je akýmsi podpisom Lorda Voldemorta (Ralph Fiennes). Vyčarovali ho Smrťožrúti - jeho prívrženci -, ktorí sa vyhýbajú verejnosti už od Voldemortovho zmiznutia pred trinástimi rokmi. Vtedy zavraždil Harryho rodičov... Harry túži po návrate za bezpečné steny školy v Rokforte, kde ho môže ochrániť profesor Dumbledore (Michael Gambon). Teraz bude ale všetko trošku inak. Dumbledore totiž oznamuje, že Rokfortská stredná škola čarodejnícka bude práve tento rok organizovať prestížny Trojčarodejnícky turnaj - jednu z najpozoruhodnejších a najriskantnejších súťaží čarodejníckeho sveta! Každá z troch najväčších a najvychýrenejších čarodejníckych škôl si vyberie jedného šampióna, ktorý bude plniť nebezpečné úlohy a bude sa snažiť získať cenný Trojčarodejnícky pohár. Študenti Rokfortu užasnuto sledujú, ako do Veľkej siene prichádzajú pôvabné dievčatá z Beauxbatonskej akadémie a mocní chlapci zo školy v Durmstrangu - a bez dychu čakajú na výber svojich šampiónov...;;;13+;https://www.csfd.sk/film/42949-harry-potter-a-ohniva-casa/galeria/plagaty/;https://video.pmgstatic.com/files/videos/000/309/309834/157709261_63737e.mp4;;https://www.csfd.sk/film/42949-harry-potter-a-ohniva-casa/galeria/plagaty/
Harry Potter and the Order of the Phoenix;Harry Potter a Fénixův řád;Harry Potter a Fénixov rád;USA;Fantasy / Rodinný / Dobrodružný;2007;138;Harry Potter (Daniel Radcliffe) sa vracia do Rokfortu, aby nastúpil do piateho ročníka školy čarov a kúziel. Tam však zistí, že väčšina členov kúzelníckej komunity verí, že jeho nedávne stretnutie s Lordom Voldemortom (Ralph Fiennes) je obyčajný výmysel, čím je zásadne spochybnená Harryho dôveryhodnosť. Ba čo horšie, minister kúziel Kornelius Fudge (Robert Hardy) opäť vymenoval nového učiteľa obrany proti čiernej mágii. V lekciách podozrivej profesorky Umbridgeovej (Imelda Staunton) sa však mladí čarodejníci nič zásadné nenaučia, a preto nemajú dostatok vedomostí k boju s temnými silami, ktoré sa okolo nich sťahujú. Na Hermioninu (Emma Watson) a Ronovu (Rupert Grint) výzvu sa Harry rozhodne vziať chod vecí do svojich rúk. Tajne sa začne schádzať s malou skupinou študentov, ktorí sa hrdo nazvali Dumbledorova armáda, a učí ich, ako sa ubrániť čiernej mágii. Hoci je sám ešte len študent, pripravuje odvážnych mladých čarodejníkov na nebezpečnú bitku, ktorá čoskoro prepukne.;;;12+;https://www.csfd.sk/film/197182-harry-potter-a-fenixov-rad/;https://video.pmgstatic.com/files/videos/000/306/306613/157703323_5dc380.mp4;;https://www.csfd.sk/film/197182-harry-potter-a-fenixov-rad/
Harry Potter and the Philosopher's Stone; Harry Potter a Kámen mudrců;Harry Potter a Kameň mudrcov;USA;Fantasy / Rodinný / Dobrodružný;2001;152;Harry Potter je sirota a žije u svojich jediných príbuzných, Dursleyovcov. Tí sa o neho starajú naozaj len z povinnosti a najradšej by boli, keby mohol ísť Harry preč. Ich želanie sa naplní, keď malý Harry dovŕši 11 rokov. To je vek, kedy sa začína povinná školská dochádzka na Rokfortskej strednej škole čarodejníckej - Harrymu začnú chodiť listy, ktoré však jeho strýko s tetou ignorujú, navštívi ho sympatický polobor Hagrid, a na jeho odporúčanie sa dostane do Rokfortu, kde spolu so svojimi dvoma novými kamarátmi Ronom Weasleym a Hermionou Grangerovou zažíva najväčšie dobrodružstvá svojho života.;;;12+;https://www.csfd.sk/film/1626-harry-potter-a-kamen-mudrcov/;https://video.pmgstatic.com/files/videos/000/307/307631/157705205_d35e87.mp4;;https://www.csfd.sk/film/1626-harry-potter-a-kamen-mudrcov/
Harry Potter and the Half-Blood Prince; Harry Potter a Princ dvojí krve;Harry Potter a Polovičný princ;USA;Fantasy / Rodinný / Dobrodružný;2009;147;Návrat Lorda Voldemorta zapríčiní vo svete kúzelníkov spúšť. Harry (Daniel Radcliffe) má podozrenie, že nebezpečenstvo číha priamo v Bradaviciach, ale Dumbledor (Michael Gambon) sa sústredí na prípravu poslednej bitky, ktorá sa blíži. Potrebuje, aby mu Harry pomohol rozlúsknuť dôležitý kľúč, ktorý vedie k rozuzleniu Voldemortovej obrany. Rozhodujúcu informáciu však pozná iba bývalý profesor Horác Kriklan. Medzitým útočí na študentov ešte úplne iný nepriateľ – ich tínedžerské hormóny. Harryho dlhodobé priateľstvo s Ginnou Weaslyovou (Bonnie Wright) prerastá v hlbší cit, ale v ceste stojí jej priateľ, Dean Thomas, nehovoriac o jej veľkom bratovi Ronovi (Rupert Grint). Lenže Ron má svojich starostí dosť s romantickými pletkami – Lavender Brownová nešetrí svojou láskou k nemu a Hermiona (Emma Watson) v ústraní žiarli, ale je rozhodnutá neprejaviť svoje city za žiadnu cenu. A k tomu všetkému ešte čokolády napustené nápojom lásky, ktoré skončia v nesprávnych rukách a všetko úplne zmenia.;;;12+;https://www.csfd.sk/film/224184-harry-potter-a-polovicny-princ/;https://video.pmgstatic.com/files/videos/000/307/307631/157705205_d35e87.mp4;;https://www.csfd.sk/film/224184-harry-potter-a-polovicny-princ/
Harry Potter and the Deathly Hallows: Part 1;Harry Potter a Relikvie smrti - část 1;Harry Potter a Dary smrti - 1.;USA;Fantasy / Rodinný / Dobrodružný;2010;140;Harry Potter a Dary smrti je siedmym a posledným pokračovaním dobrodružstiev Harryho Pottera, ktoré je očakávanou udalosťou a bude rozdelené do dvoch celovečerných filmov. Prvá časť začína, keď sa Harry (Daniel Radcliffe), Ron (Rupert Grint) a Hermiona (Emma Watson) vydávajú na nebezpečnú misiu, ktorej cieľom je nájsť a zničiť tajomstvo Voldemortovej nesmrteľnosti. Spoliehať sa musia len sami na seba, a to viac, ako kedykoľvek predtým, pretože im už profesori nepomôžu a budú tiež bez ochrany profesora Dumbledora. Navyše sú medzi nimi temné sily, ktoré sa ich snažia rozdeliť. Medzitým sa čarodejnícky svet stáva nebezpečným miestom pre všetkých nepriateľov Pána zla. Dlho obávaná vojna so zlom začala, Voldemortovi smrťožrúti kontrolujú ministerstvo kúziel i Bradavice a terorizujú a zatýkajú všetkých, ktorí by sa im chceli postaviť. To najcennejšie, čo Voldemort chce, ale stále nemá je Harry Potter. Vyvolený sa stal loveným. Smrťožrúti hľadajú Harryho všade, aby ho podľa príkazu Voldemorta priviedli živého. Harryho jedinou nádejou je, že nájde horcruxy skôr, než Voldemort nájde jeho. Pri hľadaní stôp objavuje starý a takmer zabudnutý príbeh - legendu o daroch smrti. A ak je legenda pravdivá, mohol by Voldemort získať neobmedzenú moc a silu, po ktorej túži. (TV Markíza);;;12+;https://www.csfd.sk/film/230063-harry-potter-a-dary-smrti-1/;https://video.pmgstatic.com/files/videos/000/311/311657/157712661_af683f.mp4;;https://www.csfd.sk/film/230063-harry-potter-a-dary-smrti-1/
Harry Potter and the Prisoner of Azkaban;Harry Potter a vězeň z Azkabanu;Harry Potter a väzeň z Azkabanu;Velká Británie / USA;Fantasy / Rodinný / Dobrodružný / Mysteriózní;2004;141;Třetí školní rok nezačíná pro Harryho nejlépe. Nejprve poruší zákaz kouzlení mimo školu, když se nechá vyprovokovat urážkami strýcovy sestry Marge na adresu svých rodičů. Když pak odejde od Dursleyových a záchranným autobusem se dopraví do hostince Děravý kotel, setká se sice s Hermionou a Ronem, také se však dozví, že z azkabanského vězení uprchl nebezpečný Sirius Black a že to má něco společného s ním. Co, to mu však nikdo nechce říci. Nakonec se málem stane obětí azkabanských strážců mozkomorů, kteří prohledávají bradavický vlak. Zachrání ho muž podřimující v kupé, který se představí jako profesor Lupin. Jak se ukáže, je novým učitelem obrany proti černé magii. Další změnou je jmenování Hagrida učitelem péče o kouzelné tvory. Školní rok probíhá v napjaté atmosféře, protože kolem školy krouží mozkomoři, kteří ji mají chránit a pátrat po Blackovi. Po značných komplikacích Harry zjistí, že Black byl přítelem jeho rodičů a je jeho kmotr, údajně to však byl on, kdo jeho rodiče vydal Voldemortovi a zabil kouzelníka Petera Petigrewa, který se je pokusil chránit. Situace se dramaticky vyhrotí, když se velký černý pes zmocní Rona a odvleče ho tajnou chodbou do Chroptící chýše. Když se však Harrymu a Herminoně podaří proniknout za nimi, čeká je nejedno šokující překvapení.;;;;;;;
Harry Potter and the Deathly Hallows: Part 2;Harry Potter a Relikvie smrti - část 2;Harry Potter a Dary smrti - 2.;Velká Británie / USA;Dobrodružný / Drama / Rodinný / Fantasy;2011;125;Potterovská fantasy sága se uzavírá, tímto dílem nelítostný zápas dobra se zlem vrcholí. Trojice věrných kamarádů - Harry, Hermiona a Ron - plní úkol, který po zásahu smrtící kletbou nemohl splnit moudrý Albus Brumbál. Na trojlístek hrdinů číhají nebezpečné nástrahy na každém kroku, ale ani v nucených úkrytech neztrácejí podporu oddaných přátel. Vypátrání a zničení viteálů je jedinou zárukou jejich vítězství. Harryho čeká rozhodující bitva s lordem Voldemortem, která rozhodne o osudu čarodějnického světa a školy v Bradavicích.;;;;;;;
Sense and Sensibility;Rozum a cit;Rozum a cit;USA / Velká Británie;Drama / Komedie / Romantický;1995;131;"Anglie počátku 19. století: krajina podobná parku, domácká sídla a v nich šťastní a laskaví lidé. Ale všechno není tak idylické, jak to vypadá. paní Dashwoodová se svými třemi dcerami - Elinor, Marianne a Margaret - se po Romány britské spisovatelky Jane Austenové (1775 - 1817) rozhodně nepatří mezi mrtvou literární klasiku. Jeden z jejích nejlepších románů, ""Rozum a cit"" (1811), se přičiněním vynikajícího tvůrčího týmu proměnil ve vtipnou, romantickou komedii o problémech s láskou, které nikdy nestárnou.manželově smrti musí vystěhovat právě z takového útulného sídla. Nový domov najde u vzdáleného příbuzného, starosti se dvěma dcerami na vdávání jí však zůstanou. Naštěstí najde v rozumné Elinor zalíbení bohatý a laskavý Edward Ferras, zatímco o vznětlivou Marianne projeví zájem ušlechtilý plukovník Brandon. Elinor však zjistí, že Edward je tajně zasnouben s jinou a Marianne před uzavřeným nápadníkem popřeje sluchu raději romantickému dvoření povětrného Willoughbyho. Vypadá to, že zlomená srdce už nikdo nenapraví - kdyby ovšem nešlo o ironickou komedii s dvojitým šťastným koncem.";;;;;;;
